ACTIVE DAYS,FACEBOOK REACH,,,
1 -2 days,Not Ready,"Meter na folha ""Observação"" caso tenha boas métricas",,
,,,,
DK | FIN | IE,,,NL e SWE,
3-4 dias,15k,,3-4 dias,15k
5-6 dias,35k,,5-6 dias,40k
7-11 dias,50k,,7-11 dias,70k
12-20 dias,100k,,12-20 dias,140k
21-29 dias,150k,,21-29 dias,200k
30 dias+,200k,,30 dias+,280k
,,,,
,,,,
,,,,
,,,,
Alemanha,,,FR ES IT,
3-4 dias,15k,,3-4 dias,X
5-6 dias,35k,,5-6 dias,X
7-11 dias,50k,,7-11 dias,130k
12-20 dias,100k,,12-20 dias,260k
21-29 dias,150k,,21-29 dias,390k
30 dias+,200k,,30 dias+,520k
